#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000323173.2|SAMD00115414|GCA_003175195.1|Edwardsiella piscicida||JF1411|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003175195.1	Scaffold	143554	3827424	81	Genomics Workbench v. 10.1.1	MIGS Cultured Bacterial/Archaeal	PRJDB6881	Kochi University	SAMD00115414	"Edwardsiella piscicida JF1411 genomic DNA","JF1411"	NULL	2014-11-07	NULL	6570538	Japan:Kagoshima	Paralichthys olivaceus	NULL	NULL	NULL	NULL	NULL	NULL	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	JF1411	NULL	"Draft genome sequence of Edwardsiella piscicida"	PDT000323173.2	2018-05-29	1263550	BGMK	BGMK00000000.1	NULL	NULL	NULL	0	0	0	0	10	10	NULL	"aadA2,ampC,aph(3')-Ia,catA2,dfrA12,floR,mph(A),sul1,sul2,tet(D)"	"aadA2,ampC,aph(3')-Ia,catA2,dfrA12,floR,mph(A),sul1,sul2,tet(D)"	13	"asr=HMM,merA,merB,merD,merE,merP,merR,merT,ncrA,ncrB,ncrC,ncrY,qacE=PARTIAL_END_OF_CONTIG"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
PDT000361343.3|SAMN08939752|GCA_003074715.2|Edwardsiella piscicida||S07-275|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003074715.2	Complete Genome	3787035	3787035	1	Canu v. 2.0	Microbe	PRJNA450455	Mississippi State University	SAMN08939752	"S07-275"	NULL	2007	NULL	29446708	USA	Ictalurus punctatus	NULL	NULL	NULL	NULL	NULL	S07-275	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	S07-275	NULL	NULL	PDT000361343.3	2021-10-12	1263550	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000361344.3|SAMN08939456|GCA_003074735.2|Edwardsiella piscicida||MA97-004|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003074735.2	Complete Genome	3839754	3839754	1	Canu v. 2.0	Microbe	PRJNA450433	Mississippi State University	SAMN08939456	"MA97-004"	NULL	1997	NULL	29446648	USA	Tilapia	NULL	NULL	NULL	NULL	NULL	MA97-004	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	MA97-004	NULL	NULL	PDT000361344.3	2021-10-12	1263550	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000361345.3|SAMN08939762|GCA_003074755.2|Edwardsiella piscicida||S07-346|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003074755.2	Complete Genome	3783833	3783833	1	Canu v. 2.0	Microbe	PRJNA450460	Mississippi State University	SAMN08939762	"S07-346"	NULL	2007	NULL	29446728	USA	Ictalurus punctatus	NULL	NULL	NULL	NULL	NULL	S07-346	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	S07-346	NULL	NULL	PDT000361345.3	2021-10-12	1263550	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000361346.3|SAMN08939553|GCA_003074775.2|Edwardsiella piscicida||S07-262|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003074775.2	Complete Genome	3768776	3768776	1	Canu v. 2.0	Microbe	PRJNA450442	Mississippi State University	SAMN08939553	"S07-262"	NULL	2007	NULL	29446668	USA	Ictalurus punctatus	NULL	NULL	NULL	NULL	NULL	S07-262	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	S07-262	NULL	NULL	PDT000361346.3	2021-10-12	1263550	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000361347.3|SAMN08939787|GCA_003074855.2|Edwardsiella piscicida||S07-534|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003074855.2	Complete Genome	3919095	3919095	1	Canu v. 2.0	Microbe	PRJNA450473	Mississippi State University	SAMN08939787	"S07-534"	NULL	2007	NULL	29445608	USA	Ictalurus punctatus	NULL	NULL	NULL	NULL	NULL	S07-534	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	S07-534	NULL	NULL	PDT000361347.3	2021-10-12	1263550	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000466576.2|SAMN10855903|GCA_004153325.1|Edwardsiella piscicida||MS-18-199|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_004153325.1	Complete Genome	3905600	4023048	2	Canu v. v1.7.1	Microbe	PRJNA518154	College of Veterinary Medicine	SAMN10855903	"Edwardsiella piscicida","MS-18-199"	NULL	2018-08-20	NULL	8467318	USA: Mississippi	catfish	NULL	NULL	NULL	NULL	NULL	Edwardsiella piscicida	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	MS-18-199	NULL	NULL	PDT000466576.2	2019-02-11	1263550	NULL	NULL	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"ampC,aph(3'')-Ib,aph(6)-Id,floR,sul2,tet(A)"	"ampC,aph(3'')-Ib,aph(6)-Id,floR,sul2,tet(A)"	4	"arsA=PARTIAL,arsD,arsR,asr=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000676091.2|SAMN13812492|GCA_010061665.1|Edwardsiella piscicida||CK41|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_010061665.1	Complete Genome	3776795	3863166	2	HGAP v. 2.3	Microbe	PRJNA600308	Korea Maritime & Ocean University	SAMN13812492	"CK41","Edwardsiella piscicida CK41","SRS6009357"	NULL	2011-04-13	NULL	16154018	South Korea: Busan	fish	NULL	diseased flounder	NULL	NULL	NULL	Edwardsiella piscicida CK41	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	CK41	NULL	NULL	PDT000676091.2	2020-01-31	1263550	NULL	NULL	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"aadA2,ampC,aph(3')-Ia,dfrA12,sul1,tet(A)"	"aadA2,ampC,aph(3')-Ia,dfrA12,sul1,tet(A)"	2	"asr=HMM,qacEdelta1"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
PDT001167234.1|SAMN17106044|GCA_029691305.1|Edwardsiella piscicida||OTH-19-VL-NY-MS-0028|Pathogen: environmental/food/other	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR13280322	GCA_029691305.1	Contig	256297	4067841	36	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA481355	Vet-LIRN-CVM-FDA	SAMN17106044	"OTH-19-VL-NY-MS-0028","SRS7904835"	Mississippi State University; College of Veterinary Medicine; Poultry Research and Diagnostic Laboratory	2019-08-07	environmental/other	42060178	USA:MS	NULL	NULL	Brain and Kidney (Ictalurus punctatus x Ictalurus furcatus)	NULL	NULL	NULL	OTH-19-VL-NY-MS-0028	Edwardsiella piscicida	NULL	NULL	1263550	NYVETLIRN	2020-12-21	OTH-19-VL-NY-MS-0028	NULL	NULL	PDT001167234.1	2021-11-02	1263550	ABLMEZ	ABLMEZ000000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"ampC,tet(A)"	"ampC,tet(A)"	1	"asr=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT001167235.1|SAMN17106045|GCA_029691285.1|Edwardsiella piscicida||OTH-19-VL-NY-MS-0029|Pathogen: environmental/food/other	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR13280323	GCA_029691285.1	Contig	341873	4058523	33	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA481355	Vet-LIRN-CVM-FDA	SAMN17106045	"OTH-19-VL-NY-MS-0029","SRS7904834"	Mississippi State University; College of Veterinary Medicine; Poultry Research and Diagnostic Laboratory	2019-08-08	environmental/other	42060168	USA:MS	NULL	NULL	Brain (Ictalurus punctatus x Ictalurus furcatus)	NULL	NULL	NULL	OTH-19-VL-NY-MS-0029	Edwardsiella piscicida	NULL	NULL	1263550	NYVETLIRN	2020-12-21	OTH-19-VL-NY-MS-0029	NULL	NULL	PDT001167235.1	2021-11-02	1263550	ABLMEX	ABLMEX000000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT001167236.1|SAMN17106046|GCA_029691265.1|Edwardsiella piscicida||OTH-19-VL-NY-MS-0030|Pathogen: environmental/food/other	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR13280324	GCA_029691265.1	Contig	399956	3791446	27	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA481355	Vet-LIRN-CVM-FDA	SAMN17106046	"OTH-19-VL-NY-MS-0030","SRS7904833"	Mississippi State University; College of Veterinary Medicine; Poultry Research and Diagnostic Laboratory	2019-08-13	environmental/other	42060138	USA:MS	NULL	NULL	Brain and Kidney (Ictalurus punctatus x Ictalurus furcatus)	NULL	NULL	NULL	OTH-19-VL-NY-MS-0030	Edwardsiella piscicida	NULL	NULL	1263550	NYVETLIRN	2020-12-21	OTH-19-VL-NY-MS-0030	NULL	NULL	PDT001167236.1	2021-11-02	1263550	ABLMEW	ABLMEW000000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT001167239.1|SAMN17106051|GCA_029691225.1|Edwardsiella piscicida||OTH-19-VL-NY-MS-0037|Pathogen: environmental/food/other	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR13280329	GCA_029691225.1	Contig	422474	3930973	27	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA481355	Vet-LIRN-CVM-FDA	SAMN17106051	"OTH-19-VL-NY-MS-0037","SRS7904828"	Mississippi State University; College of Veterinary Medicine; Poultry Research and Diagnostic Laboratory	2019-10-03	environmental/other	42060098	USA:MS	NULL	NULL	Brain and Kidney (Ictalurus punctatus x Ictalurus furcatus)	NULL	NULL	NULL	OTH-19-VL-NY-MS-0037	Edwardsiella piscicida	NULL	NULL	1263550	NYVETLIRN	2020-12-21	OTH-19-VL-NY-MS-0037	NULL	NULL	PDT001167239.1	2021-11-02	1263550	ABLMEU	ABLMEU000000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT001167241.1|SAMN17106098|GCA_029691205.1|Edwardsiella piscicida||OTH-19-VL-WA-NY-0065|Pathogen: environmental/food/other	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR13288069	GCA_029691205.1	Contig	207535	3813171	51	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA481358	Vet-LIRN-CVM-FDA	SAMN17106098	"OTH-19-VL-WA-NY-0065","SRS7911790"	NY	2019-03	environmental/other	42060088	USA:NY	NULL	NULL	Kidney (Micropterus dolomieu)	NULL	NULL	NULL	OTH-19-VL-WA-NY-0065	Edwardsiella piscicida	NULL	NULL	1263550	NYVETLIRN	2020-12-22	OTH-19-VL-WA-NY-0065	NULL	NULL	PDT001167241.1	2021-11-02	1263550	ABLMER	ABLMER000000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT001235988.1|SAMN19803007|GCA_021733105.1|Edwardsiella piscicida||KE5|Pathogen: environmental/food/other	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_021733105.1	Complete Genome	3763397	3763397	1	unicycler v. 0.4.8	Pathogen: environmental/food/other	PRJNA738669	Pukyong National University	SAMN19803007	"KE5","KE5_genome"	Do-Hyung Kim professor, Department of Aquatic Life Medicine, Pukyong National University	1999	environmental/other	31269448	South Korea: Pohang	Paralichthtys olivaceus (Olive flounder)	NULL	NULL	none	NULL	NULL	KE5_genome	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	KE5	NULL	NULL	PDT001235988.1	2022-01-31	1263550	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT001235989.1|SAMN19803008|GCA_021733125.1|Edwardsiella piscicida||CZ12001|Pathogen: environmental/food/other	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_021733125.1	Complete Genome	3832345	4058165	5	unicycler v. 0.4.8	Pathogen: environmental/food/other	PRJNA738669	Pukyong National University	SAMN19803008	"CZ12001","CZ12001_genome"	Do-Hyung Kim professor, Department of Aquatic Life Medicine, Pukyong National University	2012	environmental/other	31269468	South Korea	Silurus asotus (catfish)	NULL	NULL	none	NULL	NULL	CZ12001_genome	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	CZ12001	NULL	NULL	PDT001235989.1	2022-01-31	1263550	NULL	NULL	NULL	NULL	NULL	0	0	0	0	7	7	NULL	"aadA2,ampC,bleO=PARTIAL,dfrA12,qnrS1,qnrS2,tet(A)"	"aadA2,ampC,bleO=PARTIAL,dfrA12,qnrS1,qnrS2,tet(A)"	1	"asr=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT001235990.1|SAMN19803006|GCA_021733145.1|Edwardsiella piscicida||18EpOKYJ|Pathogen: environmental/food/other	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_021733145.1	Complete Genome	3761542	3819771	2	unicycler v. 0.4.8	Pathogen: environmental/food/other	PRJNA738669	Pukyong National University	SAMN19803006	"18EpOKYJ","18EpOKYJ_genome"	Do-Hyung Kim professor, Department of Aquatic Life Medicine, Pukyong National University	2018	environmental/other	31269488	South Korea: Busan	Paralichthtys olivaceus (Olive flounder)	NULL	NULL	none	NULL	NULL	18EpOKYJ_genome	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	18EpOKYJ	NULL	NULL	PDT001235990.1	2022-01-31	1263550	NULL	NULL	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"ampC,blaTEM-1,dfrA14,qnrS1,tet(D)"	"ampC,blaTEM-1,dfrA14,qnrS1,tet(D)"	1	"asr=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT001362984.1|SAMN29594514|GCA_024297085.1|Edwardsiella piscicida||BEP80|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_024297085.1	Chromosome	921695	3883256	10	CLC Genome workbench v. 22.1	MIGS Cultured Bacterial/Archaeal	PRJNA856875	Londrina State University	SAMN29594514	"BEP80","Edwardsiella piscicida BEP80","SRS15308887"	NULL	2017-06-01	NULL	34729678	Brazil: north of Parana's state	Pseudoplatystoma corruscans	NULL	Brazil: north of Parana's state, psciculture	23.03549035 S 51.81573601 W	NULL	NULL	Edwardsiella piscicida BEP80	Edwardsiella piscicida	NULL	NULL	1263550	NULL	NULL	BEP80	NULL	NULL	PDT001362984.1	2022-07-17	1263550	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT001585343.1|SAMN31263796||Edwardsiella piscicida||Ep21-8|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR21884680	NULL	NULL	285130	3795499	62	NULL	Pathogen: clinical or host-associated	PRJNA889985	PUKYONG NATIONAL UNIVERSITY	SAMN31263796	"Ep21-8","SRS15389821"	Pukyong National Universitiy	2021-06-11	clinical	NULL	South Korea: Jeju	Paralichthys olivaceus	Edwardsiellosis	Spleen of diseased olive flounder	33.27 N 126.67 E	NULL	NULL	Ep21-8	Edwardsiella piscicida	NULL	NULL	1263550	PUKYONG NATIONAL UNIVERSITY	2022-10-13	Ep21-8	NULL	NULL	PDT001585343.1	2023-01-21	1263550	NULL	NULL	NULL	NULL	NULL	0	0	0	0	5	5	NULL	"ampC,blaTEM-1,dfrA14,qnrS1,tet(D)"	"ampC,blaTEM-1,dfrA14,qnrS1,tet(D)"	0	NULL	0	NULL	3.11.2	2022-12-19.1	NUCLEOTIDE	1
