Staphylococcus_aureus | número de entradas: 1342 | date: 2023-05-03 10:46:43.911194
GCF_029635105.1 SAMN27064688
GCF_020389025.2 SAMN19550030
GCF_013307005.2 SAMN14375127
GCF_021725475.1 SAMN25143835
GCF_021513355.1 SAMN17319587
GCF_021491895.1 SAMN24648092
GCF_021491835.1 SAMN24648091
GCF_021491775.1 SAMN24648089
GCF_021491735.1 SAMN24648095
GCF_021491715.1 SAMN24648098
GCF_021390135.1 SAMN24173961
GCF_021249285.1 SAMN23928042
GCF_021172945.1 SAMN23701155
GCF_021172925.1 SAMN23701156
GCF_021172905.1 SAMN23701157
GCF_021172885.1 SAMN23701158
GCF_021172865.1 SAMN23701159
GCF_021172845.1 SAMN23701161
GCF_021172825.1 SAMN23701160
GCA_020997515.1 SAMN16946626
GCA_020997495.1 SAMN16946643
GCA_020997475.1 SAMN16946663
GCF_020985245.1 SAMN23246222
GCF_020889665.1 SAMN21438377
GCF_020889645.1 SAMN21438378
GCF_020887215.1 SAMD00407005
GCF_020887155.1 SAMD00407004
GCF_020886635.1 SAMD00256196
GCF_020881895.1 SAMN06856373
GCF_020526105.1 SAMN21905974
GCF_020389565.1 SAMN19550019
GCF_020389545.1 SAMN19550020
GCF_020389525.1 SAMN19550021
GCF_020389505.1 SAMN19550022
GCF_020389485.1 SAMN19550023
GCF_020389445.1 SAMN19550025
GCF_020389425.1 SAMN19550026
GCF_020389325.1 SAMN19550027
GCF_020389265.1 SAMN19550028
GCF_020389165.1 SAMN19550029
GCF_020389005.1 SAMN19550031
GCF_020388985.1 SAMN19550032
GCF_020388965.1 SAMN19550033
GCF_020388925.1 SAMN19550035
GCF_020388905.1 SAMN19550036
GCF_020388885.1 SAMN19550037
GCF_020388845.1 SAMN19550039
GCF_020388825.1 SAMN19550040
GCF_020388805.1 SAMN19550041
GCF_020388785.1 SAMN19550042
GCF_020388765.1 SAMN19550043
GCF_020388735.1 SAMN19550044
GCF_020388715.1 SAMN19550045
GCF_020388695.1 SAMN19550046
GCF_020388675.1 SAMN19550047
GCF_020388655.1 SAMN19550048
GCF_020388555.1 SAMN19550049
GCF_020388395.1 SAMN19550050
GCF_020388355.1 SAMN19550051
GCF_020388335.1 SAMN19550052
GCF_020388315.1 SAMN19550053
GCF_020388295.1 SAMN19550054
GCF_020388275.1 SAMN19550055
GCF_020388255.1 SAMN19550056
GCF_020388235.1 SAMN19550057
GCF_020388215.1 SAMN19550058
GCF_020388195.1 SAMN19550059
GCF_020388175.1 SAMN19550060
GCF_020388155.1 SAMN19550061
GCF_020388135.1 SAMN19550062
GCF_020388115.1 SAMN19550063
GCF_020388095.1 SAMN19550064
GCF_020388075.1 SAMN19550065
GCF_020386595.1 SAMN19550066
GCF_020150915.1 SAMN21341543
GCA_020150575.1 SAMN12330970
GCF_020097755.1 SAMN20667808
GCF_020042725.1 SAMN21399875
GCF_020034535.1 SAMN20667807
GCA_020026135.1 SAMN19128534
GCA_020025995.1 SAMN19128535
GCA_020025805.1 SAMN19128536
GCA_020025645.1 SAMN19128537
GCA_020025495.1 SAMN19128538
GCA_020025335.1 SAMN19128539
GCA_020023715.1 SAMN19128532
GCA_020023695.1 SAMN19128533
GCF_020003165.1 SAMN19813410
GCF_020003145.1 SAMN19812812
GCF_019915585.1 SAMN20667806
GCF_019915425.1 SAMN20982455
GCF_019915405.1 SAMN20982456
GCF_019738975.1 SAMN20550080
GCF_019669385.1 SAMD00269945
GCF_019669345.1 SAMD00269944
GCF_019669245.1 SAMD00269943
GCF_019669165.1 SAMD00269942
GCF_019653615.1 SAMN19770946
GCF_019603375.1 SAMN14846125
GCF_019551415.1 SAMN17301238
GCF_019551375.1 SAMN17301237
GCF_019551355.1 SAMN17301230
GCF_019551315.1 SAMN17301234
GCF_019551235.1 SAMN17301233
GCF_019551175.1 SAMN17301232
GCF_019551095.1 SAMN17301239
GCF_019551035.1 SAMN17301236
GCF_019550945.1 SAMN17301231
GCF_019550875.1 SAMN17301235
GCF_019334585.1 SAMN20227817
GCF_019134635.1 SAMN19844610
GCF_019134615.1 SAMN19844607
GCF_018987365.1 SAMN19700552
GCF_018987345.1 SAMN19718724
GCF_018987325.1 SAMN19718690
GCF_018968725.1 SAMN19690183
GCF_018732165.1 SAMN19460184
GCF_018409145.1 SAMD00276649
GCF_018399115.1 SAMN18227822
GCF_018336535.1 SAMN13875135
GCF_018336515.1 SAMN13875136
GCA_018292265.1 SAMN18317714
GCA_018292245.1 SAMN18317713
GCA_018292225.1 SAMN18317715
GCF_018141385.1 SAMN13613317
GCF_018135565.1 SAMN12342460
GCF_018093225.1 SAMN17983077
GCF_018093205.1 SAMN17983075
GCF_018093105.1 SAMN17983076
GCF_018093065.1 SAMN17983074
GCF_018075265.1 SAMN18679467
GCF_017798245.1 SAMN15828263
GCF_017161095.1 SAMN13388595
GCF_017088385.1 SAMN14225473
GCF_017088305.1 SAMN14225426
GCA_017088185.1 SAMN14225423
GCA_016415205.2 SAMN16825736
GCF_016894285.1 SAMN15354353
GCF_016889945.1 SAMN16357387
GCF_016889145.1 SAMN16357388
GCF_016727585.1 SAMN16357255
GCF_016591995.1 SAMD00258402
GCF_016496025.1 SAMN15854353
GCF_016413725.1 SAMN17109637
GCF_016413705.1 SAMN17109638
GCF_016065215.1 SAMN16824906
GCF_015999445.1 SAMN16563685
GCF_015774855.1 SAMN16825854
GCF_015774835.1 SAMN16825853
GCF_015774815.1 SAMN16825855
GCF_015767495.1 SAMN16871896
GCF_015767475.1 SAMN16872357
GCF_015732455.1 SAMN16093280
GCF_015475575.1 SAMN15239172
GCA_015290965.1 SAMN16574825
GCF_015244035.1 SAMN15887715
GCF_015220695.1 SAMN11974902
GCF_015219925.1 SAMN11974905
GCF_015219905.1 SAMN11974904
GCF_015219885.1 SAMN11974903
GCA_014876755.1 SAMEA5243365
GCA_014844155.1 SAMN12252225
GCA_014794145.1 SAMN12331034
GCA_014732075.1 SAMN14669380
GCA_014732055.1 SAMN14669381
GCA_014732035.1 SAMN14669382
GCA_014732015.1 SAMN14669383
GCA_014731995.1 SAMN14669384
GCA_014731975.1 SAMN14669385
GCA_014731955.1 SAMN14669386
GCA_014731935.1 SAMN14669387
GCA_014731915.1 SAMN14669388
GCA_014731895.1 SAMN14669389
GCA_014731875.1 SAMN14669390
GCA_014731855.1 SAMN14669391
GCA_014731835.1 SAMN14669392
GCA_014731815.1 SAMN14669393
GCA_014731795.1 SAMN14669394
GCA_014731775.1 SAMN14669395
GCA_014731755.1 SAMN14669396
GCA_014731735.1 SAMN14669397
GCA_014731715.1 SAMN14669398
GCA_014731695.1 SAMN14669399
GCA_014731655.1 SAMN14669400
GCA_014731555.1 SAMN14669401
GCA_014731535.1 SAMN14669402
GCA_014731515.1 SAMN14669403
GCA_014731495.1 SAMN14669404
GCA_014731475.1 SAMN14669405
GCA_014731455.1 SAMN14669407
GCA_014731435.1 SAMN14669406
GCA_014731415.1 SAMN14669408
GCA_014731355.1 SAMN14669409
GCA_014731235.1 SAMN14669410
GCA_014731205.1 SAMN14669411
GCA_014731185.1 SAMN14669412
GCA_014731165.1 SAMN14669413
GCA_014731145.1 SAMN14669414
GCA_014731125.1 SAMN14669415
GCA_014731105.1 SAMN14669416
GCA_014731085.1 SAMN14669417
GCA_014731065.1 SAMN14669418
GCA_014731045.1 SAMN14669419
GCA_014731025.1 SAMN14669421
GCA_014731005.1 SAMN14669420
GCA_014730985.1 SAMN14669422
GCA_014730965.1 SAMN14669423
GCA_014730945.1 SAMN14669424
GCA_014730925.1 SAMN14669425
GCA_014730905.1 SAMN14669426
GCA_014730885.1 SAMN14669427
GCA_014730855.1 SAMN14669428
GCA_014730835.1 SAMN14669430
GCA_014730815.1 SAMN14669429
GCA_014730795.1 SAMN14669432
GCA_014730775.1 SAMN14669431
GCA_014730735.1 SAMN14669433
GCA_014730715.1 SAMN14669434
GCA_014730695.1 SAMN14669435
GCA_014730675.1 SAMN14669436
GCA_014730655.1 SAMN14669437
GCA_014730635.1 SAMN14669439
GCA_014730615.1 SAMN14669438
GCA_014730595.1 SAMN14669440
GCA_014730575.1 SAMN14669441
GCA_014730555.1 SAMN14669442
GCA_014730535.1 SAMN14669443
GCA_014730515.1 SAMN14669444
GCA_014730495.1 SAMN14669445
GCA_014730475.1 SAMN14669447
GCA_014730455.1 SAMN14669446
GCA_014730435.1 SAMN14669448
GCA_014730415.1 SAMN14669449
GCA_014730395.1 SAMN14669450
GCA_014730335.1 SAMN12330987
GCA_014730155.1 SAMN12331003
GCA_014730015.1 SAMN12331002
GCA_014729855.1 SAMN12331023
GCA_014729655.1 SAMN12331031
GCA_014729535.1 SAMN12331049
GCA_014729385.1 SAMN12330986
GCA_014729215.1 SAMN12330988
GCA_014729065.1 SAMN12330989
GCA_014728925.1 SAMN12330990
GCA_014728725.1 SAMN12330991
GCA_014728585.1 SAMN12330992
GCA_014728415.1 SAMN12330993
GCA_014728255.1 SAMN12330994
GCA_014727795.1 SAMN12330995
GCA_014727775.1 SAMN12330996
GCA_014727755.1 SAMN12330997
GCA_014727735.1 SAMN12330998
GCA_014727715.1 SAMN12331000
GCA_014727695.1 SAMN12331001
GCA_014727675.1 SAMN12331004
GCA_014727655.1 SAMN12331006
GCA_014727635.1 SAMN12331008
GCA_014727615.1 SAMN12331009
GCA_014727595.1 SAMN12331010
GCA_014727575.1 SAMN12331011
GCA_014727555.1 SAMN12331012
GCA_014727535.1 SAMN12331013
GCA_014727515.1 SAMN12331019
GCA_014727495.1 SAMN12331020
GCA_014727475.1 SAMN12331021
GCA_014727455.1 SAMN12331022
GCA_014727435.1 SAMN12331024
GCA_014727415.1 SAMN12331025
GCA_014727395.1 SAMN12331026
GCA_014727375.1 SAMN12331027
GCA_014727355.1 SAMN12331028
GCA_014727335.1 SAMN12331029
GCA_014727315.1 SAMN12331030
GCA_014727295.1 SAMN12331032
GCA_014727275.1 SAMN12331033
GCA_014727255.1 SAMN12331035
GCA_014727235.1 SAMN12331036
GCA_014727195.1 SAMN12331037
GCA_014727175.1 SAMN12331038
GCA_014727155.1 SAMN12331039
GCA_014727135.1 SAMN12331040
GCA_014727115.1 SAMN12331041
GCA_014727095.1 SAMN12331042
GCA_014727075.1 SAMN12331043
GCA_014727055.1 SAMN12331044
GCA_014727035.1 SAMN12331045
GCA_014727015.1 SAMN12331046
GCA_014726995.1 SAMN12331047
GCA_014726975.1 SAMN12331048
GCA_014726955.1 SAMN12331050
GCA_014726935.1 SAMN12331051
GCA_014726915.1 SAMN12331052
GCA_014726895.1 SAMN12331053
GCA_014726875.1 SAMN12331054
GCA_014726845.1 SAMN12331055
GCA_014726825.1 SAMN12331056
GCA_014726805.1 SAMN12331057
GCA_014726775.1 SAMN12331058
GCA_014726735.1 SAMN12331059
GCA_014726715.1 SAMN12331061
GCA_014726695.1 SAMN12331062
GCA_014726675.1 SAMN12331063
GCA_014726655.1 SAMN12331064
GCA_014726635.1 SAMN12331065
GCA_014726615.1 SAMN12331066
GCA_014726595.1 SAMN12331067
GCA_014726575.1 SAMN12331068
GCA_014726535.1 SAMN12331070
GCA_014726555.1 SAMN12331069
GCA_014726515.1 SAMN12331071
GCA_014726495.1 SAMN12331072
GCA_014726475.1 SAMN12331073
GCA_014726455.1 SAMN12331074
GCA_014726435.1 SAMN12331075
GCA_014726415.1 SAMN12331076
GCA_014726395.1 SAMN12331077
GCA_014726375.1 SAMN12331078
GCA_014726355.1 SAMN12331079
GCA_014726335.1 SAMN12331080
GCA_014726315.1 SAMN12331082
GCA_014726295.1 SAMN12331085
GCA_014726275.1 SAMN12331086
GCA_014726255.1 SAMN12331087
GCA_014726235.1 SAMN12331088
GCA_014726215.1 SAMN12331089
GCA_014726195.1 SAMN12331090
GCA_014726175.1 SAMN12331092
GCA_014726155.1 SAMN12331093
GCA_014726135.1 SAMN12331094
GCA_014726115.1 SAMN12331096
GCA_014726095.1 SAMN12331097
GCA_014726075.1 SAMN12331098
GCA_014726055.1 SAMN12331099
GCA_014726035.1 SAMN12331102
GCA_014726015.1 SAMN12331103
GCA_014725995.1 SAMN12331104
GCA_014725975.1 SAMN12331105
GCA_014725955.1 SAMN12331106
GCA_014725935.1 SAMN12331107
GCA_014725675.1 SAMN12331108
GCA_014725655.1 SAMN12331110
GCA_014725635.1 SAMN12331111
GCA_014725615.1 SAMN12331114
GCA_014725595.1 SAMN12331113
GCA_014725575.1 SAMN12331115
GCA_014725555.1 SAMN12331116
GCA_014725535.1 SAMN12331117
GCA_014725515.1 SAMN12331118
GCF_013836745.1 SAMN15430097
GCF_013836525.1 SAMN15430096
GCF_005931055.2 SAMN11611368
GCF_005931015.2 SAMN11605646
GCF_005931035.2 SAMN11605647
GCF_013467405.1 SAMN14986024
GCF_013467165.1 SAMN14986023
GCA_013426235.1 SAMN13028838
GCA_013415995.1 SAMN13028842
GCA_013415975.1 SAMN13028840
GCF_013415955.1 SAMN13025398
GCF_903932595.1 SAMEA6377381
GCF_903932605.1 SAMEA6377380
GCA_013414865.1 SAMN13028851
GCF_013394425.1 SAMD00212273
GCF_013389715.1 SAMN15361562
GCF_013363895.1 SAMN14910682
GCF_013307085.1 SAMN11242055
GCF_013307065.1 SAMN14375128
GCF_013307025.1 SAMN14375126
GCF_013305955.1 SAMN14375125
GCF_013305905.1 SAMN14375129
GCF_013305885.1 SAMN14375130
GCF_013187685.1 SAMN07285687
GCF_013046885.1 SAMN14832387
GCF_013046865.1 SAMN14832454
GCF_013008375.1 SAMN14830786
GCF_013004085.1 SAMN14820654
GCF_013003945.1 SAMN14667806
GCF_012974825.1 SAMN11254210
GCF_012044475.1 SAMN14466325
GCF_012044215.1 SAMN14466324
GCF_011035105.1 SAMN13612188
GCF_011032785.1 SAMN13975784
GCF_010669265.1 SAMN13008646
GCF_009937785.1 SAMN11175642
GCF_009912075.1 SAMN11175645
GCF_009914455.1 SAMN13025165
GCF_009913215.1 SAMN11175602
GCF_009913195.1 SAMN11175595
GCF_009913175.1 SAMN11175591
GCF_009913155.1 SAMN11175592
GCF_009913135.1 SAMN11175596
GCF_009913115.1 SAMN11175590
GCF_009913095.1 SAMN11175593
GCF_009913075.1 SAMN11175601
GCF_009913055.1 SAMN11175600
GCF_009913035.1 SAMN11175599
GCF_009913015.1 SAMN11175589
GCF_009912995.1 SAMN11175588
GCF_009912975.1 SAMN11175587
GCF_009912955.1 SAMN11175605
GCF_009912935.1 SAMN11175609
GCF_009912915.1 SAMN11175604
GCF_009912895.1 SAMN11175594
GCF_009912875.1 SAMN11175610
GCF_009912855.1 SAMN11175611
GCF_009912835.1 SAMN11175606
GCF_009912815.1 SAMN11175603
GCF_009912795.1 SAMN11175598
GCF_009912775.1 SAMN11175612
GCF_009912755.1 SAMN11175608
GCF_009912735.1 SAMN11175613
GCF_009912715.1 SAMN11175617
GCF_009912695.1 SAMN11175614
GCF_009912675.1 SAMN11175615
GCF_009912655.1 SAMN11175622
GCF_009912635.1 SAMN11175607
GCF_009912615.1 SAMN11175618
GCF_009912595.1 SAMN11175623
GCF_009912555.1 SAMN11175619
GCF_009912535.1 SAMN11175626
GCF_009912495.1 SAMN11175627
GCF_009912475.1 SAMN11175632
GCF_009912455.1 SAMN11175625
GCF_009912435.1 SAMN11175635
GCF_009912415.1 SAMN11175636
GCF_009912375.1 SAMN11175624
GCF_009912355.1 SAMN11175629
GCF_009912335.1 SAMN11175631
GCF_009912295.1 SAMN11175639
GCF_009912255.1 SAMN11175620
GCF_009912195.1 SAMN11175630
GCF_009912155.1 SAMN11175640
GCF_009912115.1 SAMN11175616
GCF_009912095.1 SAMN11175628
GCF_009912055.1 SAMN11175643
GCF_009912035.1 SAMN11175641
GCF_009912015.1 SAMN11175637
GCF_009911965.1 SAMN11175633
GCF_009911895.1 SAMN11175621
GCF_009911855.1 SAMN11175634
GCF_009911835.1 SAMN11175644
GCF_009911815.1 SAMN11175638
GCA_009873335.1 SAMN12302751
GCF_009857055.1 SAMN13698767
GCF_009769095.1 SAMN12721400
GCF_009740205.1 SAMN10374687
GCF_009739885.1 SAMN10374692
GCF_009739865.1 SAMN10374693
GCF_009739845.1 SAMN10374685
GCF_009739825.1 SAMN10374686
GCF_009739795.1 SAMN10374688
GCF_009739775.1 SAMN10374689
GCF_009739755.1 SAMN10374690
GCF_009739735.1 SAMN10374691
GCF_009739715.1 SAMN10374696
GCF_009739695.1 SAMN10374694
GCF_009739675.1 SAMN10374695
GCF_009731595.1 SAMD00071152
GCF_009728775.1 SAMN10251108
GCF_009728755.1 SAMN10250996
GCF_009684655.1 SAMN13011721
GCF_009650155.1 SAMN03763989
GCF_009176875.1 SAMD00164378
GCF_009176785.1 SAMD00164376
GCF_009176765.1 SAMD00164374
GCA_008938095.1 SAMN09484059
GCA_008938075.1 SAMN09483956
GCA_008938015.1 SAMN09483923
GCA_008937855.1 SAMN09483992
GCA_008937635.1 SAMN09483961
GCA_008937415.1 SAMN09484061
GCA_008937295.1 SAMN09484011
GCA_008937055.1 SAMN09484010
GCA_008936915.1 SAMN09484013
GCA_008936895.1 SAMN09483953
GCA_008936875.1 SAMN09483989
GCA_008936855.1 SAMN09484047
GCA_008936835.1 SAMN09484080
GCA_008936815.1 SAMN09483979
GCA_008936795.1 SAMN09483955
GCA_008936775.1 SAMN09484027
GCA_008936755.1 SAMN09484062
GCA_008936735.1 SAMN09484007
GCA_008936715.1 SAMN09483983
GCA_008936695.1 SAMN09483943
GCA_008936675.1 SAMN09483944
GCA_008936655.1 SAMN09484004
GCA_008936635.1 SAMN09484067
GCA_008936615.1 SAMN09483924
GCA_008936595.1 SAMN09483939
GCA_008936575.1 SAMN09483941
GCA_008936555.1 SAMN09483969
GCA_008936535.1 SAMN09483920
GCA_008936515.1 SAMN09484031
GCA_008936495.1 SAMN09483975
GCA_008936475.1 SAMN09484015
GCA_008936455.1 SAMN09484064
GCA_008936435.1 SAMN09484039
