Burkholderia_cepacia_complex | número de entradas: 166 | date: 2023-05-03 10:41:05.030175
GCF_029633825.1 SAMN24289055
GCF_020843905.1 SAMN22635689
GCF_020736245.1 SAMN22091641
GCF_020099355.1 SAMN21218844
GCF_019930785.1 SAMN20888880
GCF_019915365.1 SAMN20982457
GCF_018417535.1 SAMN18011282
GCF_018228625.1 SAMN18839525
GCF_018223805.1 SAMN18839526
GCF_018223785.1 SAMN18839523
GCF_018223765.1 SAMN18839524
GCF_017815615.1 SAMN18497773
GCF_017815595.1 SAMN18497774
GCF_000705535.2 SAMN02720836
GCF_017514945.1 SAMN18313708
GCF_017165555.1 SAMN13876236
GCF_017165535.1 SAMN13876237
GCF_017165515.1 SAMN13876238
GCF_017165495.1 SAMN13876240
GCF_017165475.1 SAMN13876242
GCF_017165195.1 SAMN13876243
GCF_017165175.1 SAMN13876244
GCF_016889205.1 SAMN16357414
GCF_016458805.1 SAMN17126017
GCF_016458785.1 SAMN17082921
GCF_016127755.1 SAMN16357196
GCF_904865725.1 SAMEA3357501
GCF_014854795.1 SAMN08724754
GCF_014357995.1 SAMN14693155
GCF_014211915.1 SAMN03287647
GCF_009755625.1 SAMN13483398
GCF_009730195.1 SAMN11056437
GCF_009730175.1 SAMN11056441
GCF_009730035.1 SAMN11056434
GCF_009586235.1 SAMN12612766
GCF_009191525.1 SAMN08741666
GCF_008693525.1 SAMN11056337
GCF_008693485.1 SAMN11056338
GCF_007724625.1 SAMN12347524
GCF_006094315.1 SAMN10591700
GCF_003966315.1 SAMN10081159
GCF_003813045.1 SAMN10163186
GCF_003812585.1 SAMN10163241
GCF_003812365.1 SAMN10163240
GCF_003711145.1 SAMN08042342
GCF_003704285.1 SAMN03449226
GCF_003546465.1 SAMN02795966
GCF_003330765.1 SAMN07985438
GCF_003076415.1 SAMN06842015
GCF_003019965.1 SAMN05004755
GCF_003019945.1 SAMN05004748
GCF_002209085.2 SAMN06173358
GCF_002407525.2 SAMN07312432
GCF_002356275.1 SAMD00078039
GCF_002097715.1 SAMN06690200
GCF_002007585.1 SAMN05756084
GCF_001999885.1 SAMN05001912
GCF_001999825.1 SAMN05001933
GCF_001999785.1 SAMN05001925
GCF_001742165.1 SAMN05367054
GCF_001718995.1 SAMN03449689
GCF_001718975.1 SAMN03449682
GCF_001718955.1 SAMN03449637
GCF_001718915.1 SAMN03449611
GCF_001718895.1 SAMN03449602
GCF_001718855.1 SAMN03449449
GCF_001718835.1 SAMN03449447
GCF_001718815.1 SAMN03449410
GCF_001718795.1 SAMN03449404
GCF_001718775.1 SAMN03449402
GCF_001718755.1 SAMN03449401
GCF_001718695.1 SAMN03449272
GCF_001718655.1 SAMN03449265
GCF_001718575.1 SAMN03449255
GCF_001718555.1 SAMN03449247
GCF_001718535.1 SAMN03449243
GCF_001718515.1 SAMN03449242
GCF_001718495.1 SAMN03449233
GCF_001718415.1 SAMN03449185
GCF_001718395.1 SAMN03449179
GCF_001718355.1 SAMN03449140
GCF_001718335.1 SAMN03449137
GCF_001718315.1 SAMN03449129
GCF_000974835.2 SAMN03486590
GCF_001606135.1 SAMN04574071
GCF_001606115.1 SAMN04570263
GCF_000701165.1 SAMN02680268
GCF_001484665.1 SAMN03323790
GCF_001411495.1 SAMN04167160
GCF_000292915.1 SAMN02604072
GCF_001029145.1 SAMN03135394
GCF_001028665.1 SAMN03651233
GCF_000236215.2 SAMEA3138403
GCF_000959545.1 SAMN03140296
GCF_000959525.1 SAMN03140189
GCF_000959505.1 SAMN03144971
GCF_000959445.1 SAMN03107475
GCF_000959245.1 SAMN03072629
GCF_000203915.1 SAMN02598309
GCF_000203955.1 SAMN00113327
GCF_000764955.1 SAMN02796570
GCF_000756005.1 SAMN02848467
GCF_000755805.1 SAMN02797514
GCF_000755725.1 SAMN02796386
GCF_000019925.1 SAMN02598385
GCF_000019505.1 SAMN02598404
GCF_000018505.1 SAMN00623032
GCF_000016205.1 SAMN02598263
GCF_000012945.1 SAMN02598262
GCF_000010545.1 SAMD00060926
GCF_000009485.1 SAMEA1705928
