#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT000252326.2|SAMN07695532|GCA_002504285.1|Edwardsiella tarda||KC-Pc-HB1|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002504285.1	Complete Genome	3638764	3720168	2	HGAP v. 3.0	Microbe	PRJNA412107	Korea Research Institute of Bioscience & Biotechnology	SAMN07695532	"Edwardsiella hoshinae KC-Pc-HB1","KC-Pc-HB1"	NULL	2017-03	NULL	5268688	South Korea: South sea	Pseudorca crassidens	NULL	blood	NULL	NULL	NULL	Edwardsiella hoshinae KC-Pc-HB1	Edwardsiella tarda	NULL	NULL	636	NULL	NULL	KC-Pc-HB1	NULL	NULL	PDT000252326.2	2017-10-10	636	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC=HMM"	"ampC=HMM"	2	"arsC=HMM,asr=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000254972.2|SAMN07312414|GCA_002554415.1|Edwardsiella tarda||FDAARGOS_370|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_002554415.1	Contig	3698489	4238362	15	SMRT v. 2.3.0; HGAP v. 3	Pathogen: clinical or host-associated	PRJNA231221	US Food and Drug Administration	SAMN07312414	"FDA:FDAARGOS_370","FDAARGOS_370","SRS2383047"	George Washington University	2014-06-24	clinical	5361498	USA:DC	Homo sapiens	NULL	blood	NULL	NULL	NULL	FDAARGOS_370	Edwardsiella tarda	NULL	NULL	636	NULL	NULL	FDAARGOS_370	NULL	NULL	PDT000254972.2	2017-10-16	636	PDDV	PDDV00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC=HMM"	"ampC=HMM"	2	"arsC=HMM,asr=HMM"	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
PDT000320679.3|SAMN08939836|GCA_003113435.2|Edwardsiella tarda||LADL88-209|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003113435.2	Contig	787605	3645848	14	CLC NGS Cell v. 6.5.1	Microbe	PRJNA450490	Mississippi State University	SAMN08939836	"LADL88-209"	NULL	1988	NULL	32426718	USA	Morone chrysops x Morone saxatilis	NULL	NULL	NULL	NULL	NULL	LADL88-209	Edwardsiella tarda	NULL	NULL	636	NULL	NULL	LADL88-209	NULL	NULL	PDT000320679.3	2022-03-24	636	QCZZ	QCZZ00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"ampC=HMM,tet(A)"	"ampC=HMM,tet(A)"	1	"arsC=HMM"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000320681.3|SAMN08939843|GCA_003113455.2|Edwardsiella tarda||LADL99-302|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003113455.2	Contig	369386	3576227	22	CLC NGS Cell v. 6.5.1	Microbe	PRJNA450491	Mississippi State University	SAMN08939843	"LADL99-302"	NULL	1999	NULL	32517188	USA	Oreochromis niloticus	NULL	NULL	NULL	NULL	NULL	LADL99-302	Edwardsiella tarda	NULL	NULL	636	NULL	NULL	LADL99-302	NULL	NULL	PDT000320681.3	2022-03-30	636	QDAA	QDAA00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC=HMM"	"ampC=HMM"	1	"arsC=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000320682.3|SAMN08939844|GCA_003113475.2|Edwardsiella tarda||RE-04|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003113475.2	Contig	355454	3866789	27	CLC NGS Cell v. 6.5.1	Microbe	PRJNA450493	Mississippi State University	SAMN08939844	"RE-04"	NULL	2004	NULL	32517168	USA	Ictalurus punctatus	NULL	NULL	NULL	NULL	NULL	RE-04	Edwardsiella tarda	NULL	NULL	636	NULL	NULL	RE-04	NULL	NULL	PDT000320682.3	2022-03-30	636	QDAB	QDAB00000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"ampC=HMM,tet(A)"	"ampC=HMM,tet(A)"	4	"arsC=HMM,asr=HMM,terD,terZ"	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000320683.3|SAMN08942787|GCA_003113495.2|Edwardsiella tarda ATCC 15947 = NBRC 105688||ATCC 15947|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003113495.2	Complete Genome	3640682	3799645	4	Canu v. 2.0	Microbe	PRJNA450630	Mississippi State University	SAMN08942787	"ATCC 15947","ATCC:15947","Edwardsiella tarda ATCC 15947 = NBRC 105688"	NULL	1959	clinical	30079888	USA: Kentucky	Homo sapiens	NULL	NULL	NULL	NULL	NULL	Edwardsiella tarda ATCC 15947 = NBRC 105688	Edwardsiella tarda ATCC 15947 = NBRC 105688	NULL	NULL	636	NULL	NULL	ATCC 15947	NULL	NULL	PDT000320683.3	2021-11-10	667121	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC=HMM"	"ampC=HMM"	2	"arsC=HMM,asr=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000358294.2|SAMD00131843|GCA_003354245.1|Edwardsiella tarda||ET-1|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003354245.1	Complete Genome	3755402	3755402	1	Newbler v. 2.6	MIGS Cultured Bacterial/Archaeal	PRJDB7216	DDBJ	SAMD00131843	"ET-1","LC127084"	NULL	NULL	NULL	6978148	NULL	Paralichthys olivaceus	NULL	NULL	NULL	NULL	NULL	NULL	Edwardsiella tarda	NULL	NULL	636	NULL	NULL	ET-1	NULL	NULL	PDT000358294.2	2018-08-02	636	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	1	"asr=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000361348.3|SAMN08939826|GCA_003074875.2|Edwardsiella tarda||AL98-87|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_003074875.2	Complete Genome	3650302	3650302	1	Canu v. 2.0	Microbe	PRJNA450486	Mississippi State University	SAMN08939826	"AL98-87"	NULL	1998	NULL	29446748	USA	Ictalurus punctatus	NULL	NULL	NULL	NULL	NULL	AL98-87	Edwardsiella tarda	NULL	NULL	636	NULL	NULL	AL98-87	NULL	NULL	PDT000361348.3	2021-10-12	636	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC=HMM"	"ampC=HMM"	3	"arsC=HMM,arsR,asr=HMM"	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000361925.2|SAMEA80455168|GCA_900447385.1|Edwardsiella tarda|not available: to be reported later|NCTC10397|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_900447385.1	Contig	3640975	3822106	4	NULL	Generic	PRJEB6403	Wellcome Sanger Institute	SAMEA80455168	"6bef2700-e8a2-11e6-874d-3c4a9275d6c8","ERS1545388","NCTC10397","NCTC:10397"	NULL	1900/1965	NULL	7000708	NULL	Human (Child)	NULL	not available: to be reported later	NULL	NULL	NULL	NULL	Edwardsiella tarda	not available: to be reported later	NULL	636	NULL	NULL	NCTC10397	NULL	NULL	PDT000361925.2	2018-08-03	636	UFYK	UFYK00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC=HMM"	"ampC=HMM"	2	"arsC=HMM,asr=HMM"	0	NULL	3.10.36	2022-08-09.1	COMBINED	1
PDT000572061.2|SAMEA5850854|GCA_902374205.1|Edwardsiella tarda|||Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_902374205.1	Scaffold	22002	3744568	372	NULL	Generic	PRJEB33885	EMG	SAMEA5850854	"ERS3639381","MGYG-HGUT-01351"	NULL	NULL	clinical	13219308	not provided	NULL	NULL	human gut	NULL	NULL	NULL	NULL	Edwardsiella tarda	NULL	NULL	636	NULL	NULL	NULL	NULL	"Human gut genomes"	PDT000572061.2	2019-08-16	636	CABKPF	CABKPF000000000.1	NULL	NULL	NULL	0	0	0	0	2	2	NULL	"ampC=HMM,tet(C)=PARTIAL_END_OF_CONTIG"	"ampC=HMM,tet(C)=PARTIAL_END_OF_CONTIG"	2	"arsC=HMM,asr=HMM"	0	NULL	3.10.40	2022-08-09.1	COMBINED	1
PDT000975112.2|SAMN17914389|GCA_016939875.1|Edwardsiella tarda||Colony44|Pathogen: environmental/food/other	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_016939875.1	Chromosome	46967	3638764	283	idba_ud v. V1.1.3	Pathogen: environmental/food/other	PRJNA668870	Ministry of Public Health-Thailand	SAMN17914389	"Colony44"	Department of Disease Control, Ministry of Public Health	2019-08-23	environmental/other	25087648	Thailand: Trang	NULL	NULL	Rectal Swab	NULL	NULL	NULL	Colony44	Edwardsiella tarda	NULL	NULL	636	NULL	NULL	Colony44	NULL	NULL	PDT000975112.2	2021-02-25	636	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC=HMM"	"ampC=HMM"	2	"arsC=HMM,asr=HMM"	0	NULL	3.10.21	2021-12-21.1	COMBINED	1
PDT001132981.2|SAMN20888890|GCA_019933175.1|Edwardsiella tarda||FDAARGOS_1473|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_019933175.1	Chromosome	3651348	3802888	3	SMRT v. 9.0.0, HGAP v. 4.0	Pathogen: clinical or host-associated	PRJNA231221	US Food and Drug Administration	SAMN20888890	"DSM:30052","FDAARGOS_1473","SRS10498433"	DSMZ	NULL	clinical	28801058	Germany: Braunschweig	NULL	NULL	NULL	NULL	NULL	NULL	FDAARGOS_1473	Edwardsiella tarda	NULL	NULL	636	NULL	NULL	FDAARGOS_1473	NULL	NULL	PDT001132981.2	2021-09-13	636	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC=HMM"	"ampC=HMM"	2	"arsC=HMM,asr=HMM"	0	NULL	3.10.42	2022-08-09.1	COMBINED	1
PDT001167237.1|SAMN17106047||Edwardsiella tarda||OTH-19-VL-NY-MS-0031|Pathogen: environmental/food/other	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR13280325	NULL	NULL	472243	4090937	28	NULL	Pathogen: environmental/food/other	PRJNA481355	Vet-LIRN-CVM-FDA	SAMN17106047	"OTH-19-VL-NY-MS-0031","SRS7904832"	Mississippi State University; College of Veterinary Medicine; Poultry Research and Diagnostic Laboratory	2019-08-19	environmental/other	NULL	USA:MS	NULL	NULL	Brain and Kidney (Ictalurus punctatus x Ictalurus furcatus)	NULL	NULL	NULL	OTH-19-VL-NY-MS-0031	Edwardsiella tarda	NULL	NULL	636	NYVETLIRN	2020-12-21	OTH-19-VL-NY-MS-0031	NULL	NULL	PDT001167237.1	2021-11-02	636	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	0	NULL	0	NULL	3.10.16	2021-09-30.1	NUCLEOTIDE	1
PDT001167238.1|SAMN17106050||Edwardsiella tarda||OTH-19-VL-NY-MS-0036|Pathogen: environmental/food/other	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR13280328	NULL	NULL	370596	4173116	41	NULL	Pathogen: environmental/food/other	PRJNA481355	Vet-LIRN-CVM-FDA	SAMN17106050	"OTH-19-VL-NY-MS-0036","SRS7904829"	Mississippi State University; College of Veterinary Medicine; Poultry Research and Diagnostic Laboratory	2019-10-02	environmental/other	NULL	USA:MS	NULL	NULL	Brain and Kidney (Ictalurus punctatus x Ictalurus furcatus)	NULL	NULL	NULL	OTH-19-VL-NY-MS-0036	Edwardsiella tarda	NULL	NULL	636	NYVETLIRN	2020-12-21	OTH-19-VL-NY-MS-0036	NULL	NULL	PDT001167238.1	2021-11-02	636	NULL	NULL	NULL	NULL	NULL	0	0	0	0	6	6	NULL	"ampC,aph(3'')-Ib,aph(6)-Id,floR,sul2,tet(A)"	"ampC,aph(3'')-Ib,aph(6)-Id,floR,sul2,tet(A)"	3	"arsA=PARTIAL_END_OF_CONTIG,arsD,arsR"	0	NULL	3.10.21	2021-12-21.1	NUCLEOTIDE	1
PDT001167240.1|SAMN17106097||Edwardsiella tarda||OTH-19-VL-WA-NY-0064|Pathogen: environmental/food/other	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR13288068	NULL	NULL	230928	3821437	41	NULL	Pathogen: environmental/food/other	PRJNA481358	Vet-LIRN-CVM-FDA	SAMN17106097	"OTH-19-VL-WA-NY-0064","SRS7911791"	NY	2019-03	environmental/other	NULL	USA:NY	NULL	NULL	Kidney (Micropterus dolomieu)	NULL	NULL	NULL	OTH-19-VL-WA-NY-0064	Edwardsiella tarda	NULL	NULL	636	NYVETLIRN	2020-12-22	OTH-19-VL-WA-NY-0064	NULL	NULL	PDT001167240.1	2021-11-02	636	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	0	NULL	0	NULL	3.10.16	2021-09-30.1	NUCLEOTIDE	1
PDT001167711.1|SAMN02568610|GCA_004802505.1|Edwardsiella tarda PPD130/91||PPD130/91|Generic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_004802505.1	Contig	108875	3856306	203	SOAPdenovo v. 1.05	Generic	PRJNA231708	East China University of Science and Technology	SAMN02568610	"PPD130/91"	NULL	NULL	NULL	9356558	Singapore	Serpae tetra	NULL	NULL	NULL	NULL	NULL	PPD130/91	Edwardsiella tarda PPD130/91	NULL	NULL	636	NULL	NULL	PPD130/91	NULL	NULL	PDT001167711.1	2019-04-22	1436304	JACQ	JACQ00000000.1	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	6	"arsA,arsB,arsC,arsD,arsR,asr=HMM"	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT001640744.1|SAMN33426028||Edwardsiella tarda||OTH-20-VL-NY-MS-0084|Pathogen: environmental/food/other	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR23602261	NULL	NULL	400223	3792878	26	NULL	Pathogen: environmental/food/other	PRJNA481355	Vet-LIRN-CVM-FDA	SAMN33426028	"OTH-20-VL-NY-MS-0084","SRS16878244"	Mississippi State University; College of Veterinary Medicine; Poultry Research and Diagnostic Laboratory	2020-09-01	environmental/other	NULL	USA:MS	Ictalurus punctatus x Ictalurus furcatus	NULL	brain and kidney (Ictalurus punctatus x Ictalurus furcatus)	NULL	NULL	NULL	OTH-20-VL-NY-MS-0084	Edwardsiella tarda	NULL	NULL	636	VET-LIRN-NY	2023-02-23	OTH-20-VL-NY-MS-0084	Cornell University	"Vet-LIRN"	PDT001640744.1	2023-02-23	636	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	0	NULL	0	NULL	3.11.2	2022-12-19.1	NUCLEOTIDE	1
PDT001640746.1|SAMN33426026||Edwardsiella tarda||OTH-20-VL-NY-MS-0079|Pathogen: environmental/food/other	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR23602263	NULL	NULL	228031	3893297	56	NULL	Pathogen: environmental/food/other	PRJNA481355	Vet-LIRN-CVM-FDA	SAMN33426026	"OTH-20-VL-NY-MS-0079","SRS16878242"	Mississippi State University; College of Veterinary Medicine; Poultry Research and Diagnostic Laboratory	2020-07-02	environmental/other	NULL	USA:MS	Ictalurus punctatus x Ictalurus furcatus	NULL	brain (Ictalurus punctatus x Ictalurus furcatus)	NULL	NULL	NULL	OTH-20-VL-NY-MS-0079	Edwardsiella tarda	NULL	NULL	636	VET-LIRN-NY	2023-02-23	OTH-20-VL-NY-MS-0079	Cornell University	"Vet-LIRN"	PDT001640746.1	2023-02-23	636	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	1	NULL	"ampC"	"ampC"	0	NULL	0	NULL	3.11.2	2022-12-19.1	NUCLEOTIDE	1
